<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20070801;110000;102.6500000;102.9000000;101.6200000;102.2000000;6261463
20070801;120000;102.2000000;102.5000000;101.8100000;101.9000000;3733764
20070801;130000;102.0000000;102.1900000;101.7800000;102.0500000;4472977
20070801;140000;102.1600000;102.6200000;101.9600000;102.5000000;1905194
20070801;150000;102.4100000;102.9100000;102.0100000;102.4000000;2038694
20070801;160000;102.4000000;102.7800000;102.3000000;102.5100000;1858171
20070801;170000;102.5100000;102.7200000;101.9500000;102.0000000;3799354
20070801;180000;102.0000000;102.3900000;101.5500000;101.5900000;12422287
20070802;110000;102.5500000;103.3600000;102.3000000;102.8500000;2841657
20070802;120000;102.9500000;102.9500000;102.3000000;102.7500000;2335530
20070802;130000;102.7800000;102.7800000;102.4800000;102.7000000;767675
20070802;140000;102.7000000;102.7900000;102.0500000;102.2500000;1719140
20070802;150000;102.2600000;102.5500000;102.1000000;102.2000000;1273281
20070802;160000;102.2000000;102.4300000;101.8900000;102.0000000;2697464
20070802;170000;102.0000000;102.8900000;101.7800000;102.3400000;6902923
20070802;180000;102.4000000;102.5000000;102.1500000;102.3000000;2996861
20070803;110000;103.0500000;103.2000000;101.9100000;102.4000000;2822218
20070803;120000;102.3400000;102.7000000;102.2200000;102.4500000;2919744
20070803;130000;102.4500000;102.6800000;102.0200000;102.4500000;2447514
20070803;140000;102.4100000;102.6500000;102.3800000;102.4900000;1037385
20070803;150000;102.4900000;102.8000000;102.4400000;102.6900000;1315577
20070803;160000;102.6800000;103.5300000;102.4500000;102.9900000;7329535
20070803;170000;102.9900000;103.3000000;102.3500000;102.7400000;6678756
20070803;180000;102.7400000;102.7400000;102.2000000;102.2800000;4242765
20070806;110000;100.8800000;101.0000000;99.9800000;100.3800000;5583019
20070806;120000;100.3800000;100.8000000;100.1000000;100.4100000;4971340
20070806;130000;100.4400000;100.4500000;100.0300000;100.2700000;4126153
20070806;140000;100.2500000;100.3700000;100.0000000;100.2600000;3325418
20070806;150000;100.3300000;101.1200000;100.3000000;101.0000000;3195839
20070806;160000;100.9600000;101.4100000;100.8100000;100.9500000;1550491
20070806;170000;100.9500000;101.1500000;100.5000000;100.8600000;2902186
20070806;180000;100.8300000;100.9500000;100.5000000;100.5400000;2563546
20070807;110000;101.5900000;102.5000000;101.5000000;102.1500000;4004745
20070807;120000;102.1500000;102.2500000;101.7100000;102.1000000;4875658
20070807;130000;102.0700000;102.3000000;101.9300000;102.0000000;3622361
20070807;140000;102.0000000;102.1900000;101.9600000;102.0500000;1475258
20070807;150000;102.0600000;102.0800000;101.7300000;101.7700000;1035541
20070807;160000;101.7600000;102.0400000;101.7100000;101.9300000;1295697
20070807;170000;101.9800000;102.0400000;100.8100000;101.2100000;4298362
20070807;180000;101.2100000;101.2500000;99.9800000;100.6500000;5059624
20070808;110000;101.6500000;102.6600000;101.6500000;102.4800000;5176509
20070808;120000;102.4800000;102.5200000;102.1000000;102.4000000;3777871
20070808;130000;102.4100000;102.4500000;101.7500000;101.9100000;1832014
20070808;140000;101.9100000;102.2000000;101.8000000;101.9200000;1576009
20070808;150000;101.9900000;102.8900000;101.8400000;102.2600000;6903082
20070808;160000;102.2600000;102.4900000;102.1700000;102.3000000;1755502
20070808;170000;102.3000000;102.3000000;101.8700000;102.0600000;3991904
